id,name,slug,type,active,tier,parent_id,description,description_summary,url_path,biomes,created_at
003f58d5-cd79-4a70-82a4-5b86b1581610,Dunlendings Warriors,dunlendings_warriors,humans,all-day,encounter,1007565e-5a57-46d9-9089-2f94e04a2e01,"Fierce clan-warriors of Dunland, armed with spear, axe and round shield, who nurse an old hatred of Rohan for the lands their forefathers lost. They fight in loose bands under their headmen and raid the Westfold when the chance comes.","Fierce clan-warriors of Dunland with spear, axe and round shield, nursing an old hatred of Rohan for lost lands, fighting in loose bands under their headmen and raiding the Westfold when they can. Toward travellers: dangerous and quick to violence, above all toward Rohirrim and their friends.",,{hills},2026-06-10T19:23:21.754Z
0108f4a8-ef09-4aa0-8910-96e3bf734eb2,Fiara,fiara,herbivores,all-day,encounter,,"Thriving on the scant grasses of south-central Eriador, the Fiara is the most common wild herbivore in Cardolan and Minhiriath. They keep to small groups of four or five does and a buck and range all over the region. Extremely timid, though, they shy away from settled areas and seem much rarer than their real numbers would dictate. It is fortunate that these small beasts are prolific, for no creature in northwestern Endor is hunted as often as the Fiara. Eriadoran hunters have long relied on the Fiara as a food staple, and cooks from Bree to Tharbad create dozens of dishes using this tasty Deer meat.","A small, extremely timid wild roe-deer of south-central Eriador — the commonest wild herbivore of Cardolan and Minhiriath, keeping to small groups and shunning settled land; the most hunted game of the North. Toward travellers: harmless and shy, bolting from any sign of people, a mainstay of hunters' pots.",,"{forest,plains}",2026-06-15T22:25:44.988Z
01151892-afea-4643-8468-93d9ccdd75d1,Elven Wandering Company,elven_wandering_company,elves,all-day,encounter,,"One of the roving companies of Elves that cross the lands at dusk, singing as they go, much as Gildor's folk once passed through the Shire. They keep to the old paths between the havens and the eastern realms, share fire and counsel with worthy travellers, and are gone by morning.","One of the roving Elf-companies that cross the lands at dusk, singing as they go, keeping to the old paths between the havens and the eastern realms. Toward travellers: gracious and otherworldly; they share fire and counsel with the worthy and are gone by morning.",,{roads},2026-06-10T19:23:21.758Z
0116eeae-da1d-40cf-afe9-27efab144340,Egils Vipers,egils_vipers,reptiles,day,encounter,,"A huge, poisonous, predatory serpent, Egil's Viper is one of the strangest hazards of the plain of Talath Harroch, south of Mirkwood. It is said that these remarkable snakes were driven out of other areas of Rhovanion into the Talath Harroch, but this seems unlikely at best. They prey upon eggs, rodents, young animals, and (in the case of the largest Vipers) Men and Kine. Of a yellowish-brown color that blends well with the soil and grasses of the plain, Egil's Viper hunts in the late afternoon or early evening. It may spit its venom into a victim's eyes from a distance of up to thirty feet, or it may bite and inject venom in the normal manner. The Viper's fangs reach up to three inches in length and can penetrate leather and, in some cases, even chain armor.","A huge predatory viper of the plains south of Mirkwood, yellow-brown to match the soil, hunting in the evening for rodents, young beasts and (the largest) even Men and cattle — and able to spit its venom. Toward travellers: a serious danger on the open plain, striking or spitting poison from hiding.",,"{mountains,plains}",2026-06-16T02:15:02.164Z
025a019b-5333-4581-980e-ddc1d2f263de,Cathfiar,cathfiar,carnivores,all-day,encounter,,"A fierce wild cat of the northern wilds, larger and bolder than a common wildcat, hunting alone through forest and fell. Quick and savage when cornered, it preys on hares, fowl and young deer.","A fierce wild cat of the northern wilds, larger and bolder than a common wildcat, hunting alone through forest and fell for hares, fowl and young deer. Toward travellers: keeps away from people, but quick and savage if cornered.",,,2026-06-10T19:23:21.744Z
026d8cad-c534-402f-a385-f19ab3320237,Rock Vipers,rock_vipers,reptiles,day,encounter,,"An inconspicuous little creature, the Rock Viper would not be worth mentioning, save that those climbing cliffs and mountains in Endor would be well-advised to watch where they place their hands or their bare feet (Hobbits, especially), for this snakeling is fond of sunbathing on rocky ledges. Their grey skin is speckled with brown and black spots, enabling the serpent to blend in with rock surfaces (the creature is also called the Leopard Viper). Although it is small, the Rock Viper's bite is quite deadly (20th lvl). There has never been a proven case of anyone surviving such a bite without some sort of medical treatment, either magical or herbal. The victim first suffers swelling, massive bruising, and discoloration around the wound. Then, within 60 seconds, his heart begins to palpitate, his breathing becomes irregular, his endocrine system fails, and he dies of total system shock within 6-10 minutes.","A small, inconspicuous ""leopard viper,"" grey speckled with brown and black to blend with stone and fond of basking on rocky ledges — easily overlooked, but its bite is deadly. Toward travellers: a real peril to climbers and barefoot folk who set a hand or foot on a sunny ledge without looking.",,{mountains},2026-06-15T22:25:44.988Z
02dcbc70-8105-43f4-bfd1-03c085bc4539,Laegrim Ranger,laegrim_ranger,elves,all-day,encounter,57650ea6-8999-4bf1-acc9-b32b4e23230d,"A ranger of the Laegrim, the Green-elves of the woods, warding the eaves of the forest realms. Silent woodsmen and deadly archers, they patrol the wild marches, shadow intruders and keep the old paths between the Elven lands.","A ranger of the Green-elves warding the eaves of the forest realms — a silent woodsman and deadly archer who patrols the wild marches, shadows intruders and keeps the old paths. Toward travellers: unseen until he chooses; a guardian who watches strangers closely and aids the worthy.",,"{roads,forest}",2026-06-10T19:23:21.780Z
032b0db0-3ce3-44d2-aabc-1c5f95c177d1,Severe Weather,severe_weather,hazards,all-day,encounter,,"Killing weather — blizzards, ice-storms, hail, gales and freezing rain — that can fell the unsheltered traveller through cold and exhaustion alone. The high country and far North are deadliest when the sky turns.","Killing weather — blizzards, ice-storms, hail, gales and freezing rain — that can fell the unsheltered through cold and exhaustion alone, deadliest in the high country and far North when the sky turns. Toward travellers: a deadly test of shelter and endurance; seek cover before it closes in.",,,2026-06-10T19:23:21.806Z
0346e852-d70b-42dd-a40d-bb87888ebe16,Cavern Wings,cavern_wings,flying_animals,day,encounter,,"Cavern Wings are large, intelligent Bats found predominantly in Moria, although they have been reported in other caverns in the Misty Mountains. They seem to have a very sophisticated ""biting order,"" culminating in a leader which directs the other bats in their group hunts. Their weapon is their razor sharp claws, with which they rip their victims into bite-sized shreds. Their voices are low-pitched for bats, allowing most victims some warning of their approach, although this rarely helps as the Cavern Wings are very quick and maneuverable. They have dark gray to black fur, often speckled in younger individuals; the best defense is to slay the leader, after which the rest retreat until the flock chooses a new leader.","Large, intelligent bats of Moria and the Misty Mountains that hunt in directed packs under a dominant leader, slashing prey to shreds with razor claws; their low calls give a little warning, though they are too quick for it to help. Toward travellers: a coordinated, deadly swarm in the dark of caverns.",,"{mountains,cave}",2026-06-15T22:25:44.988Z
03d5c707-30d6-4ba6-87f5-df56cf6f8cfb,Easterlings,easterlings,humans,all-day,group,,"This term refers to a collection of peoples who live in north-central Middle-earth, the area to the east of the western shore of the Sea of Rhûn. These nomadic confederations are ever in search of territory and wealth and periodically invade the lands of their neighbors. The Balchoth and Wainriders are two such peoples. Each group has its own subculture and language, although most are related. Physical Character: Compact and agile. Men average 140 pounds, women 100 pounds. Swarthy, with a tan or yellowish/tan quality. Normal endurance, although they can ride horses, wagons, or chariots for long periods without exhaustion. Short to medium. Men average 5'6"", women 5'1"". Lifespan: Short, about 40-65 years. They are superb with riding animals and produce fabulous horsemen. +10 bonus to Offensive Bonuses when fighting from a horse or chariot. +20 to any attempt to train, befriend, or subdue a horse. They are nomads who live in mobile camps and move their camps using great wagons (wains). Warriors all, they also herd horses and cattle. Easterlings have little regard for anyone except their own people. They hate the Dúnedain.","A collection of swarthy, compact nomad-peoples east of the Sea of Rhûn — restless confederations ever seeking land and plunder and apt to invade their neighbours, often in the Enemy's service. Toward travellers: warlike and frequently hostile, raiders and invaders dangerous on their own ground or at war.",,{desert},2026-06-16T02:28:26.538Z
