"id","external_id","name","location_type","population","race","description","region","image_url","geom_wkt"
"437","00e5f2d229a2edcf3766d67af82c63af","Gwaerost","castle","50","","","","","POINT(2.943926 40.441266)"
"438","033f56d8b661b104d5a147e1a75be0b1","Rond Deren","manor","15","","","","","POINT(6.361441 43.005169)"
"439","03d2ab1b44e07dd4eda050853c7d7a9e","Tarmabar","fortress","82","","The Tarmas were second only to the King, but had a history of subordination against the throne. Surprisingly, his seat of power was not a well-defended fortress, but rather a pleasant, open estate filled with dozens of relatives and servants. In the Third Age, Tarmabar became a secret refuge for the Northern Rangers. The ancient ruins were known to the Hobbits as Nob Hill.","","","POINT(-2.10898 52.659012)"
"441","04e3220ac767492d0a7e4a40af1cf5f7","Sunthra Unsar","city","6000","Dunlendings","Originally built under the name Mistalonde, the city appeared in records from the mid-Second Age until T.A. 1503, when Gordaig of Saerlann captured and renamed it Sunthra Unsar. The rebuilt city became the seat of power of the Saerlannish (Dynion) clan, and its inhabitants were almost entirely hillmen.","","","POINT(-0.338526 47.295549)"
"442","0573bacfdc7be405711b2229aac84155","Eolburg","town","220","Northmen","Buhr Ailgra is one of the few permanent colonies of the Eothraim, who follow the migratory movements of their flocks across the plains of Rhovanion. The village is a simple community with houses built of straw and peat, surrounded by a sturdy earthen fence.","","","POINT(22.190484 50.535117)"
"443","05bfff19fd4ef4921a8ab483a9a1606e","Oatbarton","town","200","Hobbits","In the early days of the Shire, the region of Oatbarton was the site of an ancient Arthadan settlement known as Barrow. Oatbarton later became a Hobbit town and farming colony. The name was Bree-land slang meaning oats and barley sausage.","","","POINT(-1.144238 51.970683)"
"444","06a832f049e40fd2956c67aafa4b97b4","Tir Elena","town","490","Gondor","","","","POINT(17.042721 43.969903)"
"445","0780dc18f26046f385079adf790b14cb","Nornhabar","dwarven mine","84","Dwarves","The dwarven population varied considerably, having reached its peak in the Second Age. It was mainly abandoned before the War of the Last Alliance and, although never completely deserted, was largely dilapidated by T.A. 1643.","","","POINT(-6.24766 50.463435)"
"446","095f5496d06b45426748380218dd28bc","Balost","castle","132","Eriadorians","","","","POINT(0.84075 48.028125)"
"447","097732fb0cf5be220774f197e7b5e939","Lindabad","manor","20","","","","","POINT(3.339786 42.953196)"
"448","09ebe7fb2ead8fce2e13bcb494347b54","Hwarin","village","100","","","","","POINT(1.579458 39.692717)"
"449","0a4b4faabc031f6513c920b1a7889659","Frogmorton","town","200","","A successful community still holding its open-air meetings on the hill south of the town. Its central location on the Great East Road made it an ideal location for regional gatherings. Frogmorton Market was held at the bottom of the hill.","","","POINT(-0.546626 51.552754)"
"450","0ad87f9426e41d0331a292db56e11def","Cair Andros","fortress","560","Gondor","Cair Andros (S. Ship of Long Foam) was an island fortress on the River Anduin, roughly forty miles north of Osgiliath. Shaped like a great ship with a high rocky prow pointing north, it was fortified by Steward Túrin II to protect Anórien from enemy crossings. It served as a vital northern bulwark of Gondor against Mordor throughout the late Third Age.","","","POINT(17.804309 44.121168)"
"451","0b2e6a36edcefc06e5f110a065fd8a4b","Beldwin","fortified city","475","Gondor","Beldwin lay just south of the River Isen, near an ancient bridge still in use, built by the Dúnedain in ancient times. In the days of the Riddermark, it was renamed Fréaham and became the main settlement of Westmarch.","","","POINT(6.583805 46.066796)"
"452","0d1123b21ecdf4915a1414dfbdc79bd8","Minas Thonfalon","ruins","","","Ruined tower. Located in the middle of the marshy Swamp Coast, its foundations were slowly sinking into the waterlogged ground.","","","POINT(-3.694613 47.422739)"
