entity_type,form,intensity,weight,min_danger,max_danger,triggers_roll,prose_hint
herbivores,sign_only,0,2,0,5,False,"Only sign: cropped grass, slots in the mud, droppings, a game-trail worn through the brush."
herbivores,glimpsed_far,0,3,0,5,False,"A herd seen far off across open country, heads down, never approached."
herbivores,observed_activity,1,4,0,5,False,"Caught grazing, drinking at a ford, or a stag rubbing velvet from its antlers; it has not yet noticed him."
herbivores,reacts_withdraws,1,3,0,5,False,It catches his scent and bolts — a flash of rumps and a drum of hooves into cover.
herbivores,attacks,4,1,2,5,True,"A cornered or rutting beast turns and charges, horns or bulk lowered — give it weight, then let it pass or fall."
carnivores,sign_only,0,3,0,5,False,"A fresh kill, scattered bones, pad-prints crossing the trail, or scat still warm."
carnivores,sound_only,0,2,0,5,False,"A call in the dark — a howl, a cough, a yowl — close enough to raise the hair, the beast itself unseen."
carnivores,glimpsed_far,0,2,0,5,False,"A shape on a ridge or at the wood's edge, watching a moment, then gone."
carnivores,reacts_withdraws,1,2,0,2,False,It sees him first and melts away; only the swaying brush marks where it stood.
carnivores,stalks,3,3,2,5,False,"It shadows the march — never quite seen, always there — testing whether he is prey."
carnivores,attacks,4,3,2,5,True,"It breaks cover and comes in low and fast; this is a fight, not a fright."
flying_animals,sound_only,0,2,0,5,False,"A cry or wingbeat overhead — birdsong, an owl's call, the clap of a flock taking flight."
flying_animals,glimpsed_far,0,3,0,5,False,"Seen on the wing or perched at a distance, a flash of colour or a circling speck."
flying_animals,observed_activity,1,3,0,5,False,"Fishing a stream, mobbing a hawk, squabbling over carrion, hammering at bark — busy with its own life."
flying_animals,reacts_withdraws,1,2,0,3,False,"It startles up at his approach and is gone, leaving a settling of feathers."
flying_animals,attacks,4,2,2,5,True,"A raptor stoops, or a blood-hungry flock descends — sudden violence out of the open sky."
water_animals,sign_only,0,2,0,5,False,"A swirl in the shallows, a slick on the bank, fish-scales by a vanished fire."
water_animals,glimpsed_far,0,3,0,5,False,"A break of the surface, a fin, a dark shape gliding under the boat."
water_animals,observed_activity,1,3,0,5,False,"Fish rising at dusk, an otter at play, a great slow shape feeding along the bottom."
water_animals,hinders_passage,2,1,0,2,False,"A nuisance of the crossing — leeches, snapping fish, something that fouls the ford."
water_animals,attacks,4,2,2,5,True,"It strikes from the water at whatever wades or trails a hand — a sudden, dragging menace."
water_creatures,sign_only,0,2,0,5,False,"Wreckage on the shore, a beast washed up half-eaten, water disturbed for no clear reason."
water_creatures,glimpsed_far,0,2,0,5,False,"A vast shadow under the surface, a coil or a wake too large for any honest fish."
water_creatures,watches,2,2,3,5,False,"The water goes still and wrong, as though something below has marked the boat and waits."
water_creatures,attacks,4,4,3,5,True,"It rises — tentacle, jaw or coil — and seizes from the deep; a true horror of the water."
reptiles,sign_only,0,2,0,5,False,"A shed skin, a slither-track in dust or sand, a basking-stone lately vacated."
reptiles,glimpsed_far,0,2,0,5,False,Seen sunning on a rock or rippling away through the grass.
reptiles,observed_activity,1,3,0,5,False,"Basking, swallowing prey, coiled in the shade — sluggish and unbothered if left be."
reptiles,reacts_withdraws,1,2,0,1,False,"It flees underfoot, gone into a crevice before he can name it."
reptiles,attacks,4,3,2,5,True,It strikes — fang or coil — fast and venomous; the danger is how late it is seen.
amphibians,sound_only,0,3,0,5,False,"A chorus from the marsh at dusk, or a single croak swallowed by silence."
amphibians,glimpsed_far,0,2,0,5,False,"A bright, slick shape on a leaf or a log, jewelled and still."
amphibians,observed_activity,1,3,0,5,False,"Hunting flies at the water's edge, or massed in their breeding-season clamour."
amphibians,hinders_passage,2,1,0,5,False,Beautiful and best not touched — its skin or spit carries poison for any that handle it.
amphibians,attacks,4,1,2,5,True,"The rare deadly kind, met in numbers, turns the wet ground itself into a threat."
insects,sign_only,0,2,0,5,False,"A paper nest in the eaves, a stripped field, a humming heard before anything is seen."
insects,hinders_passage,2,3,0,5,False,"A torment of the march — biting flies, midges, a swarm that drives man and beast to distraction."
insects,observed_activity,1,2,0,5,False,"Bees at the clover, ants at their roads, a column crossing the path on business of its own."
