id,entity_type,interaction_form,intensity,weight,min_danger,max_danger,triggers_roll,prose_hint
835bb4ca-d6a6-5527-af95-e54be3aeb39b,herbivores,sign_only,0,2,0,5,False,"Only sign: cropped grass, slots in the mud, droppings, a game-trail worn through the brush."
8bb307c3-b5b1-5df6-ad69-8a86fbaeb285,herbivores,glimpsed_far,0,3,0,5,False,"A herd seen far off across open country, heads down, never approached."
9b8209cb-58d9-5c28-aef0-c81215ddc7f9,herbivores,observed_activity,1,4,0,5,False,"Caught grazing, drinking at a ford, or a stag rubbing velvet from its antlers; it has not yet noticed him."
b4237a62-5279-52b5-a70f-7251408e05a3,herbivores,reacts_withdraws,1,3,0,5,False,It catches his scent and bolts — a flash of rumps and a drum of hooves into cover.
dfa36a02-7edb-5feb-abbd-48723d8f87e1,herbivores,attacks,4,1,2,5,True,"A cornered or rutting beast turns and charges, horns or bulk lowered — give it weight, then let it pass or fall."
d68812dd-2063-59e7-a367-e66db01ac084,carnivores,sign_only,0,3,0,5,False,"A fresh kill, scattered bones, pad-prints crossing the trail, or scat still warm."
116561f5-9690-51fd-a2cb-14e03a9625f0,carnivores,sound_only,0,2,0,5,False,"A call in the dark — a howl, a cough, a yowl — close enough to raise the hair, the beast itself unseen."
2621573f-b12a-5e28-a128-06fd1fe5ea1d,carnivores,glimpsed_far,0,2,0,5,False,"A shape on a ridge or at the wood's edge, watching a moment, then gone."
2658dcb2-f345-56ac-aa62-09ac171f6114,carnivores,reacts_withdraws,1,2,0,2,False,It sees him first and melts away; only the swaying brush marks where it stood.
5900d012-0c49-5416-a7af-1c863903e983,carnivores,stalks,3,3,2,5,False,"It shadows the march — never quite seen, always there — testing whether he is prey."
7b6db050-ea0e-5969-a7db-1239afead7d4,carnivores,attacks,4,3,2,5,True,"It breaks cover and comes in low and fast; this is a fight, not a fright."
c5745843-a675-556f-ab09-2705a07e870e,flying_animals,sound_only,0,2,0,5,False,"A cry or wingbeat overhead — birdsong, an owl's call, the clap of a flock taking flight."
e3067716-0204-5e1c-ae62-3c60d54466da,flying_animals,glimpsed_far,0,3,0,5,False,"Seen on the wing or perched at a distance, a flash of colour or a circling speck."
bd14bb24-6e04-510d-a557-52d6bf63924d,flying_animals,observed_activity,1,3,0,5,False,"Fishing a stream, mobbing a hawk, squabbling over carrion, hammering at bark — busy with its own life."
22810576-f73b-54e1-acca-e4091edabf22,flying_animals,reacts_withdraws,1,2,0,3,False,"It startles up at his approach and is gone, leaving a settling of feathers."
6a1b4944-a3b5-53d2-a239-6b8626e35c42,flying_animals,attacks,4,2,2,5,True,"A raptor stoops, or a blood-hungry flock descends — sudden violence out of the open sky."
5df1b7b8-94f3-54cd-a0dc-a00fccdbc18b,water_animals,sign_only,0,2,0,5,False,"A swirl in the shallows, a slick on the bank, fish-scales by a vanished fire."
749e973c-739f-5c95-abe5-2f3a78dae392,water_animals,glimpsed_far,0,3,0,5,False,"A break of the surface, a fin, a dark shape gliding under the boat."
b65c0758-687c-5eac-a972-9a1c797cf4b2,water_animals,observed_activity,1,3,0,5,False,"Fish rising at dusk, an otter at play, a great slow shape feeding along the bottom."
a0e30f02-f400-5109-a151-ce34b402cab7,water_animals,hinders_passage,2,1,0,2,False,"A nuisance of the crossing — leeches, snapping fish, something that fouls the ford."
125f7d8a-97bd-5f2d-a7bc-36bcf01196fc,water_animals,attacks,4,2,2,5,True,"It strikes from the water at whatever wades or trails a hand — a sudden, dragging menace."
b984c444-341f-5b84-a915-448ddcc3d5e5,water_creatures,sign_only,0,2,0,5,False,"Wreckage on the shore, a beast washed up half-eaten, water disturbed for no clear reason."
12f67468-d49a-50dc-a6bd-b41cc4d8783d,water_creatures,glimpsed_far,0,2,0,5,False,"A vast shadow under the surface, a coil or a wake too large for any honest fish."
