"region_id","region_name","kingdom","forest","hill","marshes","mountains_low","mountains_med","mountains_high","road","trail","plains"
"1","Eothraim","Eothraim","Scattered groves and gallery-woods of oak and willow along the streams of the wide southern grasslands, islands of shade among the horse-pastures of the Eothraim. Open, sunlit, and loud with wind over grass.","","","","","","A grass-worn horse-track across the open plains, faint but sure to those who ride it, following the streams and the herds rather than any surveyor's line.","A rider's thread across the grass, barely there, that follows the graze of the herds and the line of the streams.","Broad northern grasslands stretching flat to the sky, rich pasture in summer and mire in the spring thaw, loud always with wind over grass."
"2","Gramuz","Gramuz","Sparse, hardy woods of pine and birch in a rugged northern wilderland, wind-bitten and thinly grown over stony ground. A frontier forest, cold and little-trodden.","","","","","","A rough track between scattered northern steads, mud in the thaw and dust in the summer, kept open only by the passing of the folk who need it.","A muddy footpath between northern crofts, faint and rough, marked by a leaning post or a cairn where it forks.","Open rough plains of coarse grass and reed between the streams, half-wild and thinly grazed under a wide grey sky."
"3","Mirkwood Wilds","Mirkwood Wilds","Oaks and beeches grow close and choking, their boughs hung with grey curtains of cobweb; the air is thick, windless and sour, the streams black and the paths dissolving. A forest turning poisonous under the watchful dread of Dol Guldur.","","","","","","A plain country track, unpaved and much like the land around it, kept open only by those who have reason to pass.","A faint path through the open country, easily followed in the clear and easily lost in the rough.",""
"4","Woodland Realm","Woodland Realm","Tall, sound forest of ancient oak and beech beneath the Wood-elves' rule, the canopy high and green-gold where sunlight reaches the moss. Game-trails wind clear and old, thrushes sing, streams run bright; the healthy northern reach of the great wood.","","","","","","A hidden forest-path known to the Wood-elves, soft with leaf-mould and easily missed, winding between the great trunks toward the Elven-king's halls.","An Elf-path so lightly trodden it is almost invisible, a faint pressing of the moss between the trunks that only keen eyes can follow.",""
"5","Parth Celebrant","Wilderness of Arnor","Cold pine and spruce on the mountain skirts, dark and resinous, the needled floor muffling every step. Mist pools between the trunks; old boundary-stones and broken walls of lost Arnor surface among the roots.","Stony upland shoulders rising toward the High Pass, grass and lichen over grey rock, strewn with the rubble of old watch-towers and the boundary-marks of a lost realm.","","The lower folds of the Misty Mountains, pine-darkened and boulder-strewn, goat-paths winding among the roots of the range. Cold torrents cut the slopes and old orc-trails lace the gullies; rough and watchful going.","The middle reaches of the Hithaeglir, bare grey stone and loose scree above the last twisted pines. Mist clings to the crags, snow lingers in the shadows, and the passes are treacherous with rockfall and denning things.","The high peaks of the Misty Mountains, savage and storm-wracked: black fangs of rock and blue glacier ice swept by killing winds and sudden blizzards. Here the mountains themselves seem to wish the traveller dead.","A faint remnant of a Dunadan road climbing toward the High Pass, its stones scattered and grass-grown, more memory of a road than a road itself.","A faint upland trace among the pines, marked by cairns half-fallen, that fades into scree near the high places.",""
"6","Dor Rhunen","Gondor","Cultivated, Mediterranean woodland: groves of holm-oak, chestnut and cypress give way to olive and almond on the warmer slopes, with orchards and flowering vales. The undergrowth is aromatic with broom, thyme and rockrose; tended, sunlit, prosperous woods.","Fertile foothills of the White Mountains, terraced with vine and olive and laced with clear streams. Warm and sunlit, the green skirts where mountain meets tilled land.","","","","","A well-kept Gondorian road of fitted stone, straight and sure, with drainage and standing waymarks; the traffic of trade and soldiery keeps it busy and its verges clear.","A trodden countryside path between orchards and terraces, sun-warm and clear, worn smooth by shepherds and farmhands.","Dry southern steppe of bleached grass and thornscrub, shimmering with heat, rolling flat and vast toward the unknown east."
"7","Anorien","Gondor","Cultivated, Mediterranean woodland: groves of holm-oak, chestnut and cypress give way to olive and almond on the warmer slopes, with orchards and flowering vales. The undergrowth is aromatic with broom, thyme and rockrose; tended, sunlit, prosperous woods.","Fertile foothills of the White Mountains, terraced with vine and olive and laced with clear streams. Warm and sunlit, the green skirts where mountain meets tilled land.","","The green foothills of the White Mountains, terraced with olive and vine where they meet the lowlands, laced with shepherd-paths and tumbling brooks. Warm, fertile and sunlit, the gentlest face of the great range.","The middle slopes of the Ered Nimrais, where forest yields to alpine meadow and grey crag. Cloud snags on the ridges, streams fall in white threads, and the air thins and chills as the green runs out into stone.","The high White Mountains, the Ered Nimrais, crowned with perpetual snow and glacier above the treeline. Knife-edged ridges and sheer pale walls blaze in the sun; the cold is absolute, the silence broken only by wind and distant ice.","A well-kept Gondorian road of fitted stone, straight and sure, with drainage and standing waymarks; the traffic of trade and soldiery keeps it busy and its verges clear.","A trodden countryside path between orchards and terraces, sun-warm and clear, worn smooth by shepherds and farmhands.","The green grain-plains of Gondor's heartland, tilled and hedged, wide fields rolling gently beneath the White Mountains' distant wall."
"8","Dagorlad","Dagorlad","No forest grows on the battle-plain, only wind-scoured scrub and the bleached bones of trees long dead, scattered across the grey waste before the Black Gate.","","The edge of the Dead Marshes bleeding onto the battle-plain: stagnant meres and peat-hags veiled in cold vapour, where pale faces float beneath black water and phantom lights lure travellers astray.","","","","No true road crosses the battle-plain, only the churned track of armies past and present, a scar of trampled ash between the marshes and the Black Gate.","A faint scar across the waste where feet have passed, wandering between peat-hags and bleached bones, easily lost in the grey sameness.","A dead flat waste of trampled earth and windblown ash, littered with the debris of old battle, stretching grey and featureless to the Black Gate."
"9","Druadan Forest","Druadan Forest","Dense, ancient oak and tangled thorn-brake on the mountain skirts, secretive and pathless. Hidden ways known only to the Druedain thread the gloom, marked by squatting Pukel-stones; to a stranger the wood closes in, oppressive and watchful.","","","","","","No made road; only the secret ways of the Woses through the thickets, unmarked to any outsider and closing behind those who do not belong.","A Wose-path through hidden hollows, unmarked to the stranger, that the Druedain read from signs no outsider can see.",""
"10","Esgaroth","Esgaroth","Northern eaves of the great Greenwood, oak and beech opening toward the Long Lake, the air cool and clean. Birch and alder line the lake-streams; a sound, living wood far from the southern sickness.","","","","","","A plank-and-piling causeway over the lake-shallows leading to the wharves of Lake-town, loud with the traffic of boats and traders.","A muddy lakeshore path among the reeds and jetties, planked in the wettest stretches, loud with frogs at dusk.",""
