id,name,current_lng,current_lat,updated_at,description,entity_id,active,type,gender,system_prompt,introduction_instructions
1,Company,1.228323,51.560255,2026-06-25 06:36:30.555119,,,f,,,,
2,Eothraim,1.228323,51.560255,2026-06-25 06:42:31.388994,"Semi-nomadic horse-people — superb riders, herders and hunters who follow their flocks between seasonal pastures. Proud and honour-bound, though split into many independent groups. Toward travellers: wary but hospitable to those who show respect; quick to take offence at insult or trespass.",1fce59e8-3cd1-4c7b-bda6-65b87652eee1,f,humans,male,,
3,Elven Noble,1.228323,51.560255,2026-06-25 06:42:31.388994,"A high-born Elf of one of the great houses, travelling with attendants on errands of state, kinship or lore, bearing authority lightly but unmistakably. Toward travellers: gracious and dignified but remote; a meeting feels like an audience as much as an encounter.",9b337ad0-5ef8-42ad-b08b-eeab60bce82f,f,elves,female,,
4,Common Folk,1.228323,51.560255,2026-06-25 06:42:31.388994,"Ordinary working people of town and country — farmers, herders, craftsfolk and labourers going about daily life. Toward travellers: they want mainly to be left in peace, and their welcome to strangers swings from kindness to wariness.",16a77606-bcf7-4062-af0f-e25b048ae8c2,f,humans,male,,
5,Dwarves of the Iron Hills,1.228323,51.560255,2026-06-25 06:42:31.388994,"Durin's Folk who mine and smelt the rich iron of the Iron Hills east of Mirkwood — renowned smiths of weapons and armour, trading with the Men of Dale and the Lake. Toward travellers: proud, industrious and stout in war; wary of strangers but fair to honest dealers and staunch allies.",484b206d-1708-463e-8aad-feaf45092071,f,dwarves,male,,
6,Laiquendi (Green-elves),1.228323,51.560255,2026-06-25 06:42:31.388994,"The Green-elves of Ossiriand — a reclusive woodland Elf-folk of the Elder Days, deeply bound to forest and river. Toward travellers: secretive and seldom seen, keeping to their woods; wary of strangers but not hostile without cause.",2c718b24-122d-43c2-bfd3-aaeee51ac5d2,f,elves,female,,
7,Asdriags,1.228323,51.560255,2026-06-25 06:42:31.388994,"A savage, wain-riding Easterling people who roam the grasslands in search of plunder. Toward travellers: hostile and predatory — raiders who fall upon the unwary rather than parley.",ebbf6613-49b0-4a97-beb8-0c169775d3b8,f,humans,male,,
8,Daen folk,1.228323,51.560255,2026-06-25 06:42:31.388994,"The native pre-Númenórean people of the coasts and plains — shorter and stockier than the Dúnedain — who took up Westron and Númenórean ways while keeping their old songs and lore; they make up most of the common folk of Lebennin and Anfalas. Toward travellers: settled, ordinary country people whose welcome ranges from hospitable to wary.",d23c16a2-86e0-4d46-821d-8002e6802f41,f,humans,male,,
9,Daen Coentis,1.228323,51.560255,2026-06-25 06:42:31.388994,"Mountain clans of the White Mountains living above the treeline in simple groupings — semi-nomadic goat-herds and, on the coast, fisherfolk — who have largely shunned Gondorian ways and keep their ancient traditions. Toward travellers: insular and proud, suspicious of outsiders but not hostile without cause.",e7963437-99f8-4831-9e59-27bfbd0ddbc6,f,humans,male,,
10,Galadhrim (Elves of Lórien),1.228323,51.560255,2026-06-25 06:42:31.388994,"The Silvan and Sindarin Elves of Lórien, masters of woodcraft and stealth, dwelling in flets high among the great mallorn-trees. Toward travellers: secretive guardians of their golden wood, unseen until they choose; courteous but exacting toward strangers who enter uninvited.",6588dabc-dd1a-4056-9006-f9b77ba0796f,f,elves,female,,
11,Sakalai,1.228323,51.560255,2026-06-25 06:42:31.388994,"Small, dark-haired, independent tribes of the southern marshes and the mouths of Anduin, of mixed Daen and Southron blood, living as swamp-fishers largely beyond Gondor's reach. Toward travellers: keep to themselves in their fens, wary of outsiders and of any authority.",b2b81354-a616-4b33-b26d-c746e85a533c,f,humans,male,,
12,Elves of Rivendell,1.228323,51.560255,2026-06-25 06:42:31.388994,"The mixed Elf-folk of Rivendell — Noldor lords and craftsmen, Sindar, and many Silvan Elves who tend its grounds and patrols — tall, ageless and hardy, gathered in willing service around the Lord of the House. Toward travellers: gracious hosts within their hidden valley, giving rest, healing and counsel to the worthy, and ready to defend it at need.",39c6f905-e634-405e-80b0-d9ff9ce329e5,f,elves,female,,
13,Elrond,1.228323,51.560255,2026-06-25 06:42:31.388994,"Elrond Half-elven, lord and founder of Rivendell — descended from both Elves and Men, keeper of Arnor's heirlooms and bearer of one of the Three Rings; a healer, loremaster and host of the wise. Toward travellers: a noble, kindly and far-sighted lord, a giver of shelter, healing and counsel to those who reach his house in need.",3c53e93a-1e01-4478-ad09-a71fb3f504af,f,elves,female,,
14,Galadriel,1.228323,51.560255,2026-06-25 06:42:31.388994,"Lady of Lórien — a great Noldorin princess, Ring-bearer, and one of the wisest and most far-seeing of Elves, whose foresight and power guard her realm against the Shadow. Toward travellers: regal, ancient and searching; gracious to the worthy who reach her wood, but her gaze reads the heart.",3720f344-517b-4d03-b9b3-3119e56c8b18,f,elves,female,,
15,Hillmen of Rhudaur,1.228323,51.560255,2026-06-25 06:42:31.388994,"Short, dark, stocky hill-folk of broken Rhudaur, kin to the Dunlendings — superb mountaineers but deeply distrustful of outsiders and prone to treachery and ambush, worshipping vengeful gods with blood; old enemies of Dúnedain and Northmen, and dreading Elves. Toward travellers: dangerous and faithless to strangers, quick to ambush and slow to trust.",5fff43cd-dcc7-4f99-aed5-2edf7159668e,f,humans,male,,
16,Calenardhons,1.228323,51.560255,2026-06-25 06:42:31.388994,"The Men of the grassy plains south of Fangorn — herders and settlers along the Entwash, forerunners of the Rohirrim — who graze and trade near the forest and keep an uneasy peace with its powers. Toward travellers: plain herding folk, cautious but not hostile, ever watchful of the forest at their backs.",69e7e569-1f05-4c24-b676-46082f84878e,f,humans,male,,
17,Rural Men,1.228323,51.560255,2026-06-25 06:42:31.388994,"A broad label for the common country folk of Eriador and Gondor — of mixed blood, plainly dressed, working farm, pasture and trade. Toward travellers: ordinary working people whose welcome to strangers ranges from kindly to wary with the times.",1d974e03-f452-4ab8-81bb-0a02507e3aad,f,humans,male,,
