entity_type,topic,prose_hint
elves,the_fading,"Have them speak of the slow fading of the Elves and the lands they must leave, with a sorrow worn smooth by long years."
elves,old_grief,"Have them bring up an age-old loss — a drowned realm, a kinsman long dead — as though it were last night."
elves,the_sea,"Have them turn the talk to the call of the Sea and the road West: who will take ship, and who will stay and dwindle."
elves,weighing_the_heart,"Have them probe courteously, measuring the traveller's purpose and heart before they give any trust."
elves,what_stirs_in_the_dark,"Have them ask quietly about the growing shadow, and rumour of orcs, wolves and fouler things abroad."
dwarves,lost_halls,"Have him speak of a mansion or mine lost to dragon or goblin, and the wealth and kin buried with it."
dwarves,craft_and_gold,"Have him talk of fine work, rich seams and fair trade — gold, gems and the worth of things — and speak of them bluntly."
dwarves,old_grudge,"Have him bring up a grievance nursed for generations — a slight, a debt, an enemy not yet repaid."
dwarves,oath_and_kin,"Have him speak of loyalty to king and folk, and the binding weight of a word once given."
dwarves,guarded_suspicion,"Have him put short, suspicious questions, saying little of his own roads and liking prying even less."
hobbits,food_and_comfort,"Have them talk of the next meal, good ale, a warm fire and a soft bed — the real business of life."
hobbits,home_and_family,"Have them chatter about their hole, their garden, their kin and the doings of the next farm over."
hobbits,local_gossip,"Have them share who said what to whom, and the small scandals and rumours of the country round."
hobbits,wary_of_big_folk,"Have them show polite unease at strangers and the wide world, wishing adventures would happen elsewhere."
hobbits,simple_kindness,"Have them offer food, a tale or directions, with homely, unsuspecting goodwill."
humans,news_and_rumor,"Have them trade news of the road — war, bandits, strange sights — hungry for word from elsewhere."
humans,harvest_and_weather,"Have them talk plainly as working folk do: crops, beasts, the turning season, hard times or good."
humans,where_are_you_bound,"Have them ask frankly but carefully who the traveller is, and where they are going, and why."
humans,a_request_for_help,"Have them raise a trouble of their own — a beast, a feud, a missing kinsman — and hope the stranger might aid it."
humans,suspicion_of_strangers,"Have them probe in a guarded, even hostile way, mistrusting an unknown face in hard times."
maiar,riddle_and_counsel,"Have them speak words that carry more than they say — a warning, a riddle, or counsel from one far older than he seems."
maiar,the_long_defeat,"Have them turn the talk to the great shape of things: the slow war against the Shadow, and each one's small part in it."
maiar,care_of_living_things,"Have them turn the talk to beasts, trees and growing things, and the keeping of them."
maiar,testing_the_traveller,"Have them put a strange, searching question that seems to weigh the traveller's worth or errand."
maiar,a_strange_offer,"Have them offer aid on terms of their own — a gift, a path, a rescue — odd and not freely explained."
orcs,threat_and_jeer,"Give them no real talk — only snarled threats, jeering, and the promise of a cruel end."
orcs,quarrel_among_themselves,"Have them bicker and turn on one another over loot, orders or who eats first, overheard by the traveller."
orcs,interrogation,"Have them fling harsh demands at a captive — who are you, who sent you, what do you carry — backed by the lash."
