id,name,region_type,kingdom_id,description_text,notes,products,area_km2,created_at
79,Andrast,province,10,"Southern Gondor comprises the fertile river valleys, coastal plains, highland vales and mountain flanks between the White Mountains (Ered Nimrais) and the Bay of Belfalas, encompassing the provinces of Lebennin, Belfalas/Dor-en-Ernil, Lamedon, Anfalas and the Pinnath Gelin—the heartland of Númenórean civilization in Middle-earth.","Southern Gondor's natural environment has been extensively reshaped by Númenórean colonization; the biomes encoded here reflect the Third Age T.A. 1640 state, not a pristine natural landscape; the most 'wild' zones are the Cape of Andrast, Ethir Anduin delta, upper mountain vales and Tolfalas. Harondor (the arid plateau south of the Poros) is treated as a separate region.[file:73]",,147218.619028706,Tue May 26 2026 16:23:30 GMT-0300 (Argentina Standard Time)
13,Anfalas,province,10,"Southern Gondor comprises the fertile river valleys, coastal plains, highland vales and mountain flanks between the White Mountains (Ered Nimrais) and the Bay of Belfalas, encompassing the provinces of Lebennin, Belfalas/Dor-en-Ernil, Lamedon, Anfalas and the Pinnath Gelin—the heartland of Númenórean civilization in Middle-earth.","Southern Gondor's natural environment has been extensively reshaped by Númenórean colonization; the biomes encoded here reflect the Third Age T.A. 1640 state, not a pristine natural landscape; the most 'wild' zones are the Cape of Andrast, Ethir Anduin delta, upper mountain vales and Tolfalas. Harondor (the arid plateau south of the Poros) is treated as a separate region.[file:73]",,175672.197710709,Tue May 26 2026 16:23:30 GMT-0300 (Argentina Standard Time)
46,Angmar,province,21,"Angmar is a cold, militarized realm north of Arnor, ruled by the Witch-king of the Nazgûl; it exists primarily as a war machine, built on harsh land, hardened frontier peasants, and armies of men, orcs, and monsters. Geology consists of deeply eroded limestone that robs the surface soil of water, with igneous and metamorphic outcrops near the mountains. carn dûm is built on a massive block of dull red granite.","This object treats Angmar as a political and geographic region in the mid-Third Age at the height of the Witch-king’s power; subregions such as Carn Dûm or specific castles can be split into separate site objects for higher resolution. A rocky, barren, and bleak highland plateau with frozen soil, little water, and severe wood shortages. Populated by Orcs, Trolls, and dark-hearted Men who serve the Iron Crown of Carn Dûm.",,76141.9466704414,Tue May 26 2026 16:23:30 GMT-0300 (Argentina Standard Time)
7,Anorien,province,10,"Anórien is the northern fief of Gondor that occupies the strip of land between the northern slopes and valleys of the White Mountains and the west bank of the Anduin, opposite northern Ithilien. Established towards the end of the Second Age along with Ithilien and Lebennin as part of Gondor’s Anduin heartland, it later remains the only Gondorian fief north of the White Mountains when Calenardhon is ceded to the Éothéod to become Rohan. The region is defined by mountain-fed valleys, tall grasslands and scattered woods, pierced by the Great West Road and guarded by beacon-peaks and the Drúadan Forest.","For mapping, treat Anórien as a narrow Anduin-valley and mountain-foot fief: cooler and more sparsely settled than Lebennin, with tall grasslands and scattered farms in the central strip, beacon peaks and the Drúadan Forest along the White Mountains, and the Anduin margin linking it to northern Ithilien and Cair Andros.[file:216][web:234][web:238][web:243]",,49184.8707227935,Tue May 26 2026 16:23:30 GMT-0300 (Argentina Standard Time)
64,Apariach,province,24,"Lindon is the westernmost Elvish realm of Middle-earth, the remnant of Ossiriand that survived the War of Wrath. After the breaking and flooding of Beleriand, the Great Sea breached the Blue Mountains to form the Gulf of Lhûn, dividing Lindon into Forlindon (North Lindon) and Harlindon (South Lindon), with the River Lhûn as the eastern border against Arnor. Throughout the Second and early Third Age it is the principal Elven coastal realm and home of the Grey Havens (Mithlond). Geology consists of folded sedimentary rock (slate and sandstone) with rich iron lodes and abundant coal deposits in forlindon.","This Lindon work is an unlicensed, non-commercial fan-made Realm (version 3.2, 2023) rather than an original ICE product, but it is structured like a MERP Realm and synthesizes Tolkien canon with MERP-style material. For your Middle-earth-on-Europe map, Lindon should be treated as one macro-region with internal subregions (Forlindon, Harlindon, Rhûnlindon) sharing a maritime temperate climate, and Mithlond explicitly marked as a major harbor node. Climate numbers (temperature ranges and precipitation) from the Traveller’s Guide can be mapped directly onto your climate system for coastal vs mountain bands, while the Wandering Companies’ route description provides a canonical overland corridor from Imladris to the Grey Havens for your path and distance calculations.[file:99] Eerily beautiful remnants of Beleriand, characterized by rugged coastal hills, fertile valleys, and evergreen forests. A light rain, drizzle, or ethereal fog falls on most days of the year, allowing mosses, ferns, firs, and spruce to thrive.","Ships, fish, rope, textiles, herbs.",17026.1767517102,Tue May 26 2026 16:23:30 GMT-0300 (Argentina Standard Time)
28,Ardolyalinya,province,26,"Lindon is the westernmost Elvish realm of Middle-earth, the remnant of Ossiriand that survived the War of Wrath. After the breaking and flooding of Beleriand, the Great Sea breached the Blue Mountains to form the Gulf of Lhûn, dividing Lindon into Forlindon (North Lindon) and Harlindon (South Lindon), with the River Lhûn as the eastern border against Arnor. Throughout the Second and early Third Age it is the principal Elven coastal realm and home of the Grey Havens (Mithlond). Geology consists of folded sedimentary rock (slate and sandstone) with rich iron lodes and abundant coal deposits in forlindon.","This Lindon work is an unlicensed, non-commercial fan-made Realm (version 3.2, 2023) rather than an original ICE product, but it is structured like a MERP Realm and synthesizes Tolkien canon with MERP-style material. For your Middle-earth-on-Europe map, Lindon should be treated as one macro-region with internal subregions (Forlindon, Harlindon, Rhûnlindon) sharing a maritime temperate climate, and Mithlond explicitly marked as a major harbor node. Climate numbers (temperature ranges and precipitation) from the Traveller’s Guide can be mapped directly onto your climate system for coastal vs mountain bands, while the Wandering Companies’ route description provides a canonical overland corridor from Imladris to the Grey Havens for your path and distance calculations.[file:99] Eerily beautiful remnants of Beleriand, characterized by rugged coastal hills, fertile valleys, and evergreen forests. A light rain, drizzle, or ethereal fog falls on most days of the year, allowing mosses, ferns, firs, and spruce to thrive.","Ships, fish, rope, textiles, herbs.",16789.6372680138,Tue May 26 2026 16:23:30 GMT-0300 (Argentina Standard Time)
33,Ardquetto,province,26,"Lindon is the westernmost Elvish realm of Middle-earth, the remnant of Ossiriand that survived the War of Wrath. After the breaking and flooding of Beleriand, the Great Sea breached the Blue Mountains to form the Gulf of Lhûn, dividing Lindon into Forlindon (North Lindon) and Harlindon (South Lindon), with the River Lhûn as the eastern border against Arnor. Throughout the Second and early Third Age it is the principal Elven coastal realm and home of the Grey Havens (Mithlond). Geology consists of folded sedimentary rock (slate and sandstone) with rich iron lodes and abundant coal deposits in forlindon.","This Lindon work is an unlicensed, non-commercial fan-made Realm (version 3.2, 2023) rather than an original ICE product, but it is structured like a MERP Realm and synthesizes Tolkien canon with MERP-style material. For your Middle-earth-on-Europe map, Lindon should be treated as one macro-region with internal subregions (Forlindon, Harlindon, Rhûnlindon) sharing a maritime temperate climate, and Mithlond explicitly marked as a major harbor node. Climate numbers (temperature ranges and precipitation) from the Traveller’s Guide can be mapped directly onto your climate system for coastal vs mountain bands, while the Wandering Companies’ route description provides a canonical overland corridor from Imladris to the Grey Havens for your path and distance calculations.[file:99] Eerily beautiful remnants of Beleriand, characterized by rugged coastal hills, fertile valleys, and evergreen forests. A light rain, drizzle, or ethereal fog falls on most days of the year, allowing mosses, ferns, firs, and spruce to thrive.","Ships, fish, rope, textiles, herbs.",16803.3054575182,Tue May 26 2026 16:23:30 GMT-0300 (Argentina Standard Time)
49,Ascahiriand,province,24,"Lindon is the westernmost Elvish realm of Middle-earth, the remnant of Ossiriand that survived the War of Wrath. After the breaking and flooding of Beleriand, the Great Sea breached the Blue Mountains to form the Gulf of Lhûn, dividing Lindon into Forlindon (North Lindon) and Harlindon (South Lindon), with the River Lhûn as the eastern border against Arnor. Throughout the Second and early Third Age it is the principal Elven coastal realm and home of the Grey Havens (Mithlond). Geology consists of folded sedimentary rock (slate and sandstone) with rich iron lodes and abundant coal deposits in forlindon.","This Lindon work is an unlicensed, non-commercial fan-made Realm (version 3.2, 2023) rather than an original ICE product, but it is structured like a MERP Realm and synthesizes Tolkien canon with MERP-style material. For your Middle-earth-on-Europe map, Lindon should be treated as one macro-region with internal subregions (Forlindon, Harlindon, Rhûnlindon) sharing a maritime temperate climate, and Mithlond explicitly marked as a major harbor node. Climate numbers (temperature ranges and precipitation) from the Traveller’s Guide can be mapped directly onto your climate system for coastal vs mountain bands, while the Wandering Companies’ route description provides a canonical overland corridor from Imladris to the Grey Havens for your path and distance calculations.[file:99] Eerily beautiful remnants of Beleriand, characterized by rugged coastal hills, fertile valleys, and evergreen forests. A light rain, drizzle, or ethereal fog falls on most days of the year, allowing mosses, ferns, firs, and spruce to thrive.","Ships, fish, rope, textiles, herbs.",25518.2912507263,Tue May 26 2026 16:23:30 GMT-0300 (Argentina Standard Time)
29,Belegaer sea,province,29,"The Belegaer, or Great Sea, is the vast ocean separating Middle-earth (Endor) from the Undying Lands of Aman in the far West. In the coastal domains of Lindon, Arnor, and Gondor, it comprises key areas such as the Gulf of Lhûn (Nen Lhûn) and the Bay of Belfalas (Nen Belfalas). The deep gulf of Nen Lhûn, formed in the cataclysms of the First Age, serves as the calm and misty harbor for the Elven ships sailing from Mithlond, rich in salmon, lobsters, and shellfish. Further south, the vast Bay of Belfalas rests on Endor's continental shelf, driven by the warm, counterclockwise Southron Stream which collides with the cold Great Stream off the Cape of Andrast, creating turbulent, dangerous waters home to sharks, grey sperm whales, and giant squids.","A gateway to the Undying Lands, which can only be reached by Elven ships sailing along the Straight Road.","Fish, pearls, amber, salt.",2062052.97959002,Tue May 26 2026 16:23:30 GMT-0300 (Argentina Standard Time)
86,Bree,province,6,"Arthedain is the northern Dúnedain kingdom in Eriador, cradled between the Blue Mountains and the Misty Mountains and bounded by the rivers Lhûn and Baranduin, a cool, sparsely populated realm of rocky hills, downs, marshes, and the Shire, ruled from Fornost as the last Númenórean realm in the North in T.A. 1640.","This Arthedain object is meant to capture the realm as described around T.A. 1640 in Rangers of the North, with climate and landforms usable as a base layer for pathfinding, biome assignment and climate modeling; more focused regions like Angmar, Cardolan and Rhudaur are handled in their own supplements.[file:25]","Wool, grain, silver, copper, books.",4310.83075437024,Tue May 26 2026 16:23:30 GMT-0300 (Argentina Standard Time)
