id,"desc",temperature,precipitation,koppen,analog_location,analog_lat,analog_lon,created_at
37,,"Tolkien depicts North Ithilien in spring as a land where new leaves are already out and many flowers and herbs are in full growth while the Dead Marshes behind are still dreary.[web:221][web:226] This implies an early, mild spring and a generally warm regime. Winters are cool but not severe at river level—there is no mention of lingering snow in the story passages—and the steep, eastward‑rising slopes towards the Ephel Dúath capture sun and warmth. Summers can be hot, especially on exposed slopes and rocky outcrops, but shade from climbing woods and ravines tempers extremes.","Being between Anduin and the Ephel Dúath, Forithilien receives rain from Anduin‑valley systems rather than direct ocean storms. Summaries and analyses describe Ithilien as 'very fertile and green', suggesting regular rainfall and enough moisture to sustain lush woods and gardens.[web:221][web:224] Rain and mist are common in the shoulder seasons, with many streams descending rapidly from the mountain side; in summer, the climate turns drier but not to the point of destroying the vegetation, thanks to deep soils, shade and spring‑fed brooks.",Csb,"Val d'Orcia, Tuscany, Italy",43.05,11.6,2026-06-09T23:42:28.048Z
38,,"As part of Gondor’s Anduin-valley core, Anórien shares the general pattern Sea-Lords of Gondor gives for Lebennin and neighbouring regions: mild winters, long springs and autumns, and warm, often hot summers in the lowlands.[file:216] Its position north of most of Lebennin and further from the Bay of Belfalas means colder winter nights and more frequent frosts on the open uplands, especially in valleys that drain cold air off the White Mountains. Summers in the valleys can be quite warm, but elevation and mountain breezes temper extremes.","The lower Anduin system is described as having relatively even precipitation through the year, with no long, Harad-like droughts; most rain falls in spring and autumn when moist maritime air meets cooler inland flows.[file:216] Anórien, being more inland and shielded by the White Mountains, receives slightly less overall rainfall than Lebennin but still enough for fertile grasslands and woods. Snow falls in winter on higher beacon peaks and the upper forested slopes, while at valley level winter precipitation is often cold rain or mixed sleet. The Drúadan Forest and other wooded pockets mark zones where local topography captures extra moisture.",Csa-Csb,"Umbria interior, Perugia, Italy",43.1,12.39,2026-06-09T23:42:28.057Z
39,,"When winter snows melt in spring, the plateau comes to life for a few weeks as grasses surge and wildflowers cover the hills in many colours. Once spring passes into summer, the lack of moisture and rainfall quickly bleaches the grass and causes the flowers to wilt and shrivel. This produces cool to cold winters with frequent snow and wind, contrasted with relatively mild but very dry summers with marked day–night swings typical of an inland plateau.","The Rammas Forod receives on the order of 10 to 20 inches of precipitation a year, most of it as snow driven south from Forodwaith in winter. Rainstorms are uncommon and occur only when conditions align, because the Blue Mountains to the west and the vast Everlasting Plain to the east block many spring and autumn storm tracks. Moisture is concentrated in the snow season and early melt; the rest of the year is predominantly dry, with only scattered showers.",Cfb,"Galloway, SW Scotland",54.9,-4.0,2026-06-09T23:42:28.058Z
40,,"For one season of the year, the Cornalas is 'a pale brown, blurred by constant cool mists,' with sounds muted by bog; for another, 'all is soft white,' and the hills look like clouds brought down to touch the earth, with luminous alabaster skies and axe-blows echoing from hill to bluff to steading. During the Awakening and the Poem (spring and high summer), the valley is 'green, lush shades of it blurring as though tinted by a painter's brush,' shifting tone with storms and rain so that one might never tire of watching its moods. Over the later Third Age the weather grows colder, and increasingly harsh winters give exposed hills a brown cast, pushing shepherds to keep flocks closer to valleys.[file:179]","The hills receive abundant precipitation: cool mists that pool in the valley like wine in a goblet, soft snows that cover hills in white and frequent rains that feed the lush greens of the growing season. Rain 'seemed eager to wash away the soil behind the terraces and retaining walls,' threatening agriculture and infrastructure; constant cool dampness breeds chilling fevers and fluxes of throat and lungs among the people.[file:179]",Cfb,"Loch Lomond, Scotland",56.1,-4.6,2026-06-09T23:42:28.060Z
41,,"Rugged highlands formed the northwestern marches of Arthedain, and 'low grass was the only living thing on this windswept plain, shunned even by the hardy Lossoth.' Winters are long, cold and often severe, with frost and snow lingering on the exposed heights; summers are cool and short, barely allowing grasses and wildflowers a growing season. Through the long years between the Second Northern War and the Third, the weather in Eriador grows increasingly cold; in the Twilight Hills/Emyn Uial, this trend gives hills a permanently brown cast, and Talath Muil—northwest of these hills and closer to tundra—experiences even harsher conditions.[file:179]","Talath Muil is a 'grey wasteland, where every day brings fog and drizzle, and every scrap of cloth drips cold moisture.' Crown Prince Eärnur notes that his soldiers are stricken with flux in this climate, rising each damp morning to a rolling, rumbling cough. Rain and drizzle are nearly constant, with only brief breaks; snow and sleet in winter add to the moisture load. Poor, thin soils on the rocky uplands shed water quickly into hollows, but the constant damp keeps the plain soaked for much of the year.[file:179]",Cfc,"Cairngorms National Park, Scotland",57.16,-3.83,2026-06-09T23:42:28.063Z
42,,"Winters are cold and moist with normal snow cover; light snows sometimes fail to penetrate the canopy, leaving only treetops white. In heavy snowfalls, an 'igloo effect' occurs: temperatures under the trees become warmer than beyond the forest edge, making Fangorn’s eaves a refuge for plains animals during particularly harsh storms. Spring brings rapid temperature oscillations as thunderstorms rise over the Misty Mountains in minutes, but under the boughs conditions are somewhat muted. Summers are warm and, because of tree cover, oppressively humid for Men—'like a great terrarium'—though ideal for Ent nurseries. Autumn is cool with fairly regular patterns, occasionally disrupted by storm branches from coastal systems sweeping through the gap between mountain ranges.[file:154]","Precipitation is frequent year-round. Winter brings cold, moist conditions and regular snow; tree cover often intercepts light falls so only heavy storms reach the forest floor. Spring thunderstorms build quickly over the mountains, bringing intense but localized rain, wind and lightning. Summer humidity arises from repeated rainfall combined with limited evaporation under the canopy. In autumn, fairly regular rains dominate, with rare but intense storms carrying large quantities of water and wind through the mountain gap, soaking the woods and borderlands.[file:154]",Cfb-Dfb,"Bayerischer Wald, Bavaria, Germany",49.05,13.35,2026-06-09T23:42:28.065Z
43,,"Summers are notably hotter and drier than coastal Gondor, with temperatures frequently exceeding 90°F on the Aegardh plateau; winters are mild but can bring cold nights, and the Ephel Dûath blocks moisture from the east.[file:73]","Northward winds from the Bay of Belfalas bring occasional rainfall to Harithilien on the western Ephel Dûath face, but the Aegardh plateau and most of Harondor is dry steppe; the southern zone near the Harnen grades into sandy scrub desert with scattered dunes (bursk country).[file:73]",BSh,"Almería, Cabo de Gata, Spain",36.77,-2.19,2026-06-09T23:42:28.066Z
44,,"Across Talath Uichel, average summer highs range around 40–60°F with lows near freezing, while winters run from about 10°F down to −40°F; in the Landless Land temperatures remain below 32°F all year, with severe wind-chill making perceived temperatures much lower.[file:39]","Talath Uichel receives moderate snowfall, especially where moist air from Forochel and Eriador meets cold polar air; bogs and fens in the Lakeland and Wash Tundra remain waterlogged in summer. The Landless Land gets very little precipitation, mainly as dry, sand-like snow particles blown by constant winds.[file:39]",ET-Dfc,"Inari, Lapland, Finland",68.9,27.01,2026-06-09T23:42:28.067Z
45,,"Summer temperatures along the bay commonly hover between about 40–50°F by day and around freezing at night, while winter averages drop toward 10°F down to −40°F in severe spells, with rapid swings driven by shifting sea storms and cold air masses off the polar ice.[file:39]","Coastal storms from the Encircling Sea, Bay of Forochel and Belegaer can bring heavy snow, sleet and occasional rain; pack-ice forms in autumn along the northern coasts, making travel and navigation hazardous until it thickens in deep winter, then breaks up dangerously again in spring.[file:39]",Dfc-cold,"Finnmark coast, Norway",70.66,25.1,2026-06-09T23:42:28.069Z
46,,"Seasonal temperature swings are large; summers on the treeless plain are felt as very hot under direct sun, while winters are bitterly cold with icy winds sweeping across the open ground.","Rain and sleet arrive in irregular spells rather than steady gentle weather; the plain receives enough moisture to support sparse grass and shrubs, but far less than the richer wetlands of Nindalf, and recent centuries have seen a steady decline in fertility.",Dfb-dry,"Cappadocia, Nevşehir, Turkey",38.65,34.83,2026-06-09T23:42:28.071Z
