id,entity_id,entity_type,interaction_form,shadow_band,character_id,cultural_family,region_id,npc_attitude,concrete_content,tension,traveller_stance,topic
5786ea63-9338-4ce8-8928-e2f46d0e46a2,f38ca7a3-f993-4f34-96ad-b28231f6a233,humans,brief_exchange,low,aranath,dunadan_north,,Recognizes him by posture and gear before he is close enough to speak. Waits without hand on weapon.,Patrol on the Weather Hills is short two men — pulled north without explanation ten days ago. He has been running the circuit alone. Asks if the north reported anything unusual.,"He shares the gap in coverage as a peer, not a report. Expects Aranath to know what it means.",Gives the countersign. Receives the patrol intelligence. Files the missing men.,news_and_rumor
a2adc79c-e22b-4486-b8d9-302db195680d,f38ca7a3-f993-4f34-96ad-b28231f6a233,humans,brief_exchange,mid,aranath,dunadan_north,,More guarded than the greeting would usually warrant. Something has made him careful with his own.,A supply cache on the red hills road — three nicks on the eastern stone — was emptied three weeks ago and not replenished. Someone used it and did not report it. The cache-keeper in Bree does not know who.,"A breach in their network, reported to the only other Ranger he has trusted with it. The breach could mean desertion, capture, or something else entirely.",Does not fill the silence after. Lets the weight of the missing report sit between them.,old_grudge
9a0833ee-b837-436a-a6f4-e6de4b988c5b,f38ca7a3-f993-4f34-96ad-b28231f6a233,humans,brief_exchange,high,aranath,dunadan_north,,Tense in a way that has become posture. Has been reading a compromised landscape for too long alone.,"Three farms on the Minhiriath road gone dark in sequence — doors open, fires cold, animals still penned. Moving south to south-east. Not raiders — something methodical.",He wants Aranath on the northern circuit while he continues south. He cannot cover both and he does not trust anyone else he has met on this road in a month.,Runs the calculation of what the northern circuit costs in time. Then agrees.,suspicion_of_strangers
523e91f6-262f-4491-8821-2545c6627597,f38ca7a3-f993-4f34-96ad-b28231f6a233,humans,brief_exchange,low,celebrian,dunadan_north,,Formal. The posture of a man who was told to show respect to Elves and has remembered it.,He asks whether she has seen movement further north. Three abandoned steadings he does not remember being empty before. He has no other Elf-source on this circuit.,He is doing his duty. She is a resource he would not normally have. There is no warmth in it but the respect is real.,Answers what she knows. Sees in him the grandson of the man she knew. Does not say so.,news_and_rumor
c0ece7e8-a54f-40a6-b000-bd3c484b2569,f38ca7a3-f993-4f34-96ad-b28231f6a233,humans,brief_exchange,mid,celebrian,dunadan_north,,The caution is wearing thin. He has been alone long enough that the formal approach has cracked.,"He asks directly: did she know Cardolan, before. Not as a test — as a question from a man whose entire history is book-knowledge, standing in the place where it happened.",He wants to know what it was actually like. She is the only person he has ever met who could tell him. He is slightly afraid she will refuse.,Considers whether to answer fully. Gives him one true thing and watches what he does with it.,weighing_the_heart
318f0782-8108-4736-951c-4cc2dc517273,f38ca7a3-f993-4f34-96ad-b28231f6a233,humans,brief_exchange,high,celebrian,dunadan_north,,He watched her on the road for ten minutes before speaking. Something in the way she moves through a landscape of ruins stopped him from the usual approach.,"He asks, carefully, if she is well. The question lands differently than it should. He does not know why he asked it.",The question is more perceptive than expected from a mortal on a cold road. She is not well. She is not going to say so.,Recognizes real attention. Gives him the minimum that is also true.,weighing_the_heart
c177294b-afb8-4a4f-8f6a-27fcc1944a9c,01151892-afea-4643-8468-93d9ccdd75d1,elves,observed_activity,low,aranath,,,"They move through the dusk as if they belong to it. One pauses and looks at him for a long moment, then continues.","They are heading west — always west, in the end. The one who paused has Rivendell-silver in his gear, a design he has seen in the archives at Fornost. He has read about this company. He did not expect to see them.","They will not stop unless he speaks. The pause was acknowledgment, not invitation.",Watches them pass without speaking. Is not certain he could have.,weighing_the_heart
8d0cb1e7-abee-4e9a-a6f9-9595fa87157f,01151892-afea-4643-8468-93d9ccdd75d1,elves,brief_exchange,mid,aranath,,,"One of them has already turned to face the road where he is approaching, waiting.","A patrol in the Trollshaws has gone silent — an Elven patrol, not a Ranger one. They noticed because the patrol was supposed to pass through the Elven road three days ago and did not. They are telling him because it is his circuit.",They give him the information because he is Dúnedain and it concerns his land. Not a gift — what is done between those who watch the same darkness.,Receives the news. Thanks them in Sindarin. Watches their faces when he does.,news_and_rumor
2d782a24-f163-40e6-9c99-3ff65ce190eb,01151892-afea-4643-8468-93d9ccdd75d1,elves,brief_exchange,low,celebrian,,,The company stops when they see her. Not in surprise — in recognition. Someone makes a sound that is not quite a word.,"One of them knows her name, not from meeting her but from a song about something she did in the First Age that she does not think of as notable. Hearing it described back to her is disorienting.","They want to know where she is going. They mean it as kin-concern, not challenge.",Tells them the direction but not the reason. There is kindness in not explaining.,old_grief
fcffc69e-5295-4807-abf5-1367988567b0,01151892-afea-4643-8468-93d9ccdd75d1,elves,brief_exchange,mid,celebrian,,,"The eldest of the group speaks, the others are quiet. Careful with her.","He mentions someone who sailed — someone she knew. He says the name gently, watching her face, offering it as if asking whether she already knew. She did not.",He is not being cruel. He thought she should know. She is not yet certain she is grateful.,Does not react immediately. Then asks: when. Listens to the answer.,old_grief
1c312097-a795-495a-9676-98a234ec0ab8,01151892-afea-4643-8468-93d9ccdd75d1,elves,brief_exchange,high,celebrian,,,One breaks away from the group and comes to her directly. The others continue without stopping.,He says quietly that this company is the last to use this road for some time. He does not explain why. He looks at her the way you look at someone choosing to stand in a place others are choosing to leave.,He is not asking her to reconsider. He is witnessing her choice. The acknowledgment is both comfort and weight.,Holds his gaze. Then: I know.,the_fading
216f7ad6-531b-4e21-abc2-4c32e5bcfaee,b7757f56-109f-4cfb-bb1e-4e5b8000ff86,humans,observed_activity,low,aranath,dunadan_north,,One steps into view deliberately and stops. Not a threat — an acknowledgment. He is letting him see.,"He leaves a carved marker at the trail junction — a Wose sign meaning this path is watched, use it. The marker was not there this morning.","This is the Woses giving what they give: knowledge of the land, in their own language, to those who know how to read it.",Reads the sign correctly. Leaves dried meat at the base of the marker stone. Walks on.,news_and_rumor
5634a6c8-0170-45c8-89be-8c405083c0b8,b7757f56-109f-4cfb-bb1e-4e5b8000ff86,humans,observed_activity,mid,aranath,dunadan_north,,"Two of them moving parallel to the road, matching his pace exactly. Escorting without being asked.",They stop when the road bends and a disturbed barrow-mound comes into view ahead. They will not go closer. The escort ends here and both of them know it.,They have told him what they can tell him. He continues from this point alone.,Notes where they stopped. Approaches the barrow with full attention.,suspicion_of_strangers
f0e8494c-2072-40e8-83b1-2144cbe56021,b7757f56-109f-4cfb-bb1e-4e5b8000ff86,humans,observed_activity,high,aranath,dunadan_north,,"A low deliberate sound from the scrub — not voice, not animal. A warning.",Something on the trail ahead that the Woses do not want him to walk into. They will not show themselves to explain what it is.,The warning was given. The explanation was not. He has enough.,Stops. Waits. Takes the longer path around.,suspicion_of_strangers
6400eadd-01e1-42bb-9d5b-7b64c0a4aef1,b7757f56-109f-4cfb-bb1e-4e5b8000ff86,humans,observed_activity,low,celebrian,,,"One is standing at the road's edge, so still she almost passed him. He is old — older than he looks.",He carries a staff carved with marks she has seen before. Not Wose marks. Older ones. Marks that were used in the late First Age for a specific purpose that almost no one living remembers.,He knows what those marks mean. She knows what those marks mean. They are possibly the only two on this road who do.,Stops. Looks at the staff without pointing at it. Then meets his eyes.,weighing_the_heart
