"interaction_type","location_id","location_type","region_id","cultural_family","title","description","rest_quality","shadow_effect","priority"
"overnight","457","","","","The Prancing Pony","The Prancing Pony at Bree, the great meeting-house of the north, where Men and Hobbits crowd the common-room and the fire never dies. A hot meal, dark ale, a warm bed upstairs, and the low roar of a dozen conversations carrying every rumour on the road. Barliman's folk keep the beds aired and the door barred at night.","3","-1","100"
"overnight","472","","","","The Last Homely House","Rivendell, the Last Homely House east of the Sea. Here weariness falls away like a set-down pack: clear voices sing in the hall, the food restores more than the body, and sleep comes deep and dreamless under Elrond's roof. Whatever shadow a traveller carries loosens its grip within these walls.","3","-2","100"
"overnight","482","","","","The Grey Havens","Mithlond, the Grey Havens, where Cirdan's people keep quiet hospitality by the sea. A guest is given a spare, clean room above the quays, the sound of tide and rigging through the window, and a stillness so old it steadies the heart. Sleep here is calm and salt-scented.","3","-1","100"
"overnight","462","","","","Fornost Erain","Fornost, the Fortress of the Kings, capital of Arthedain. A traveller of worth is lodged in the stone guest-halls; the food is plain but good, the beds firm, the watch changing quietly through the night. There is dignity here, and the grave courtesy of the Dunedain, though the great halls feel half-empty against the memory of Arnor.","3","0","100"
"overnight","479","","","","Minas Tirith","Minas Tirith, the white city of seven tiers. Lodging is found on the lower levels among the guest-houses of the tradesmen, or higher if one has standing; the city never fully sleeps, guards pacing the walls, the White Tower lit above. A bed here is safe and clean, and the sense of Gondor's ordered strength is itself a kind of rest.","3","-1","100"
"overnight","473","","","","Tharbad","Tharbad, the great decayed river-port. Once magnificent, now shabby and crowded, its inns are noisy and none too clean, full of boatmen, smugglers and travellers of every stripe. A room can be had for coin, but keep a hand on your purse; sleep comes thin over the sound of the docks.","2","0","90"
"overnight","","","82","","","Sleeping within Fangorn means lying among roots that seem to shift when unwatched; the wood is awake and aware of the intruder. No fire feels wise here. The dark is deep, the creak of timber close and deliberate, and rest comes shallow under the attention of something ancient and unhurried.","1","1","40"
"overnight","","","8","","","A night on Dagorlad is a night on a graveyard: flat trampled waste and peat-reek, the ground littered with the bones of old battle, cold mist curling low. Sleep is fitful, broken by the sense of things half-seen at the edge of the eye, and the dead lie close beneath.","0","2","40"
"overnight","","","84","","","To sleep in Lothlorien is to rest as if outside of time. The mallorn-light lingers gold into the dusk, the air is clean and still, and no evil thing walks here. Weariness lifts and the heart grows quiet; a traveller wakes lighter than he lay down.","3","-2","40"
"overnight","","","71","","","There is no true rest at the Gates of Moria. Whether huddled at the West-gate or venturing the dark within, the silence presses and the black water of the mere lies still and watchful. Every echo carries too far. Sleep, if it comes, is thin and cold.","0","2","40"
"overnight","","","62","","","A night on the Rohan grass is open and clean: the wind combs the turf, the stars wheel vast overhead, and a small fire of dung or gathered wood holds off the dark. The horse-country feels free and wide, and rest comes easy for those the Riders count as friends.","2","0","40"
"overnight","","","46","","","To sleep in Angmar is to sleep in the enemy's own land: bitter cold that no fire fully answers, grey cloud smothering the stars, and the constant sense of being hunted. Rest is grudging and broken; the shadow of the Witch-king lies heavy on every hour.","0","2","40"
"overnight","","","3","","","A night in the sickened south of Mirkwood is a vigil, not a rest: the trees crowd close, black and webbed, the air thick and sour, and unseen things move in the dark. No fire feels safe. The dread of Dol Guldur seeps through the trunks and sleep will not come clean.","0","2","40"
